Index,Date,Time,Longitude,Latitude,Magnitude,Depth,Location
308,2021-05-28,0:51:44,83.55,41.17,3,11,"Kuche,Xinjiang"
309,2021-05-28,8:51:25,95.02,31.93,3.1,10,"Dingqing,Tibet"
310,2021-05-28,20:43:19,99.92,25.56,3.4,13,"Yangbi,Yunnan"
311,2021-05-30,5:37:42,85.42,42.12,3.3,15,"Kuerle,Xinjiang"
312,2021-05-30,7:08:56,84.8,36.79,3.7,6,"Qiemo,Xinjiang"
313,2021-05-30,12:50:08,98.31,34.67,4.9,9,"Madoi,Qinghai"
314,2021-05-30,12:57:02,98.3,34.68,3,9,"Madoi,Qinghai"
315,2021-05-30,14:14:55,100.25,34.16,3.8,9,"Gande,Qinghai"
316,2021-05-30,14:55:15,98.48,34.65,4.9,9,"Madoi,Qinghai"
317,2021-05-30,21:08:22,92.78,33.78,3.5,10,"Zhiduo,Qinghai"
318,2021-05-30,23:06:31,106.97,38.37,3,15,"Etuokeqianqi,Neimenggu"
319,2021-05-30,23:35:05,98.03,34.73,3,10,"Madoi,Qinghai"
320,2021-05-31,7:23:21,120.41,38.01,3.7,9,"ThecoastalareanearPenglai,Shandong"
321,2021-05-31,8:12:10,98.59,34.59,3.4,10,"Madoi,Qinghai"
322,2021-06-02,20:44:01,78.28,40.95,4,10,"Aheqi,Xinjiang"
323,2021-06-03,13:55:17,97.9,34.75,4.9,10,"Madoi,Qinghai"
